ID;NOMBRE / DESC;SECCIÓN;POSICIÓN;ESTADO;REPE ;CANTIDAD REPE;ID SECCIÓN
1;OFFICIAL EMBLEM ;FWC;OTRO;FALTA;NO;0;FWC1
2;OFFICAL EMBLEM 2;FWC;OTRO;FALTA;NO;0;FWC2
3;OFFICIAL MASCOT;FWC;OTRO;FALTA;NO;0;FWC3
4;OFFICIAL SLOGAN ;FWC;OTRO;FALTA;NO;0;FWC4
5;OFFICIAL BALL;FWC;OTRO;FALTA;NO;0;FWC5
6;HOST COUNTRY EMBLEM CAN;FWC;OTRO;FALTA;NO;0;FWC6
7;HOST COUNTRY EMBLEM MEX;FWC;OTRO;FALTA;NO;0;FWC7
8;HOST COUNTRY EMBLEM USA;FWC;OTRO;FALTA;NO;0;FWC8
9;ESCUDO MEX;MÉXICO;OTRO;FALTA;NO;0;MEX1
10;LUIS MALAGÓN;MÉXICO;PORTERO;FALTA;NO;0;MEX2
11;JOHAN VÁSQUEZ;MÉXICO;DEFENSA;FALTA;NO;0;MEX3
12;JORGE SÁNCHEZ;MÉXICO;DEFENSA;FALTA;NO;0;MEX4
13;CÉSAR MONTES;MÉXICO;DEFENSA;FALTA;NO;0;MEX5
14;JESUS GALLARDO;MÉXICO;DEFENSA;FALTA;NO;0;MEX6
15;ISRAEL REYES;MÉXICO;DEFENSA;FALTA;NO;0;MEX7
16;DIEGO LAINEZ;MÉXICO;MEDIOCENTRO;FALTA;NO;0;MEX8
17;CARLOS RODRÍGUEZ;MÉXICO;MEDIOCENTRO;FALTA;NO;0;MEX9
18;EDSON ÁLVAREZ;MÉXICO;MEDIOCENTRO;FALTA;NO;0;MEX10
19;ORBELÍN PINEDA;MÉXICO;MEDIOCENTRO;FALTA;NO;0;MEX11
20;MARCEL RUIZ;MÉXICO;MEDIOCENTRO;FALTA;NO;0;MEX12
21;EQUIPO MEX;MÉXICO;OTRO;FALTA;NO;0;MEX13
22;ÉRICK SÁNCHEZ;MÉXICO;MEDIOCENTRO;FALTA;NO;0;MEX14
23;HIRVING LOZANO;MÉXICO;DELANTERO;FALTA;NO;0;MEX15
24;SANTIAGO GIMÉNEZ;MÉXICO;DELANTERO;FALTA;NO;0;MEX16
25;RAÚL JIMÉNEZ;MÉXICO;DELANTERO;FALTA;NO;0;MEX17
26;ALEXIS VEGA;MÉXICO;DELANTERO;FALTA;NO;0;MEX18
27;ROBERTO ALVARADO;MÉXICO;DELANTERO;FALTA;NO;0;MEX19
